id	tiêu đề	mô tả	liên kết	tình trạng	giá	giá ưu đãi	ngày giá ưu đãi có hiệu lực	còn hàng	liên kết hình ảnh	nhãn hiệu	loại sản phẩm	custom_label_0	custom_label_1	custom_label_2	custom_label_3
4340	Dây đàn guitar Acoustic D'Addario EJ10 (D01-EJ0010)	Dây đàn guitar Acoustic D'Addario EJ10 (D01-EJ0010), Nhạc cụ Tiến Đạt	http://localhost:50857/acoustic-guitar-strings/day-dan-guitar-acoustic-d-addario-ej10-d01-ej0010.html	mới	160000 VND	160000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/day-dan-guitar-acoustic-d-addario-ej10-d01-ej0010.jpg		Phụ kiện > Phụ kiện Guitar > Dây đàn - Strings > Acoustic Guitar Strings	Phụ kiện - Phụ kiện Guitar - Dây đàn - Strings - Acoustic Guitar Strings	0	Acoustic Guitar Strings	Không Ưu Tiên
4339	Dây đàn guitar điện Elixir NANOWEB 12052 size 10 ( Mã SP: 3313212052)	Dây đàn guitar điện Elixir NANOWEB 12052 size 10 ( Mã SP: 3313212052), Nhạc cụ Tiến Đạt	http://localhost:50857/acoustic-guitar-strings/day-dan-guitar-dien-elixir-nanoweb-12052-size-10-ma-sp-3313212052.html	mới	350000 VND	350000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/day-guitar-dien-elixir-nanoweb-12052-size-10-ma-sp-3313212052.jpg		Phụ kiện > Phụ kiện Guitar > Dây đàn - Strings > Acoustic Guitar Strings	Phụ kiện - Phụ kiện Guitar - Dây đàn - Strings - Acoustic Guitar Strings	0	Acoustic Guitar Strings	Không Ưu Tiên
4338	Dây đàn guitar Elixir Nanoweb 11052 size 12 (Mã SP: 3313211052)	Dây đàn guitar Elixir Nanoweb 11052 size 12 (Mã SP: 3313211052), Nhạc cụ Tiến Đạt	http://localhost:50857/acoustic-guitar-strings/day-dan-guitar-elixir-nanoweb-11052-size-12-ma-sp-3313211052.html	mới	430000 VND	430000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/day-dan-guitar-elixir-nanoweb-11052-size-12-ma-sp-3313211052.jpg		Phụ kiện > Phụ kiện Guitar > Dây đàn - Strings > Acoustic Guitar Strings	Phụ kiện - Phụ kiện Guitar - Dây đàn - Strings - Acoustic Guitar Strings	0	Acoustic Guitar Strings	Không Ưu Tiên
4337	Dây đàn guitar Elixir Nanoweb size 11 (Mã SP: 3313211027)	Dây đàn guitar Elixir Nanoweb size 11 (Mã SP: 3313211027), Nhạc cụ Tiến Đạt	http://localhost:50857/acoustic-guitar-strings/day-dan-guitar-elixir-nanoweb-size-11-ma-sp-3313211027.html	mới	430000 VND	430000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/day-dan-guitar-elixir-nanoweb-size-11-ma-sp-3313211027.jpg		Phụ kiện > Phụ kiện Guitar > Dây đàn - Strings > Acoustic Guitar Strings	Phụ kiện - Phụ kiện Guitar - Dây đàn - Strings - Acoustic Guitar Strings	0	Acoustic Guitar Strings	Không Ưu Tiên
4336	Dây đàn Guitar điện Elixir Optiweb 19052 size 10-46	Dây đàn Guitar điện Elixir Optiweb 19052 size 10-46, Nhạc cụ Tiến Đạt	http://localhost:50857/acoustic-guitar-strings/day-dan-guitar-dien-elixir-optiweb-19052-size-10-46.html	mới	380000 VND	380000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/day-dan-guitar-dien-elixir-optiweb-19052-size-10-46.jpg		Phụ kiện > Phụ kiện Guitar > Dây đàn - Strings > Acoustic Guitar Strings	Phụ kiện - Phụ kiện Guitar - Dây đàn - Strings - Acoustic Guitar Strings	0	Acoustic Guitar Strings	Không Ưu Tiên
4322	Amplifier Boss ACS-LIVE	Amplifier Boss ACS-LIVE, Nhạc cụ Tiến Đạt	http://localhost:50857/amplifier-roland/amplifier-boss-acs-live.html	mới	14440000 VND	13718000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/amplifier-boss-acs-live.jpg		Trống - Amplifier > AMPLIFIER > Amplifier Roland	Trống - Amplifier - AMPLIFIER - Amplifier Roland	0	Amplifier Roland	Không Ưu Tiên
4321	Đàn Guitar Acoustic Martin Junior Series DJr-10E Sitka Top w/Bag	Đàn Guitar Acoustic Martin Junior Series DJr-10E Sitka Top w/Bag, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-junior-series-djr-10e-sitka-top-w-bag.html	mới	15950000 VND	15152500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-junior-series-djr-10e-sitka-top-w-bag.jpg		Đàn Guitar > Đàn Guitar MARTIN > Guitar Acoustic Martin	Đàn Guitar - Đàn Guitar MARTIN - Guitar Acoustic Martin	0	Guitar Acoustic Martin	Không Ưu Tiên
4320	Đàn Guitar Acoustic Martin X Series DC-X2E Mahogany w/Bag	Đàn Guitar Acoustic Martin X Series DC-X2E Mahogany w/Bag, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-x-series-dc-x2e-mahogany-w-bag.html	mới	19910000 VND	18914500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-x-series-dc-x2e-mahogany-w-bag_5876.jpg		Đàn Guitar > Đàn Guitar MARTIN > Guitar Acoustic Martin	Đàn Guitar - Đàn Guitar MARTIN - Guitar Acoustic Martin	0	Guitar Acoustic Martin	Không Ưu Tiên
4319	Amplifier Boss Cube Street II	Amplifier Boss Cube Street II, Nhạc cụ Tiến Đạt	http://localhost:50857/amplifier-roland/amplifier-boss-cube-street-ii.html	mới	12180000 VND	10800000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/amplifier-boss-cube-street-ii_8470.jpg		Trống - Amplifier > AMPLIFIER > Amplifier Roland	Trống - Amplifier - AMPLIFIER - Amplifier Roland	0	Amplifier Roland	Không Ưu Tiên
4318	Amplifier Acoustic Boss ACS-PRO	Amplifier Acoustic Boss ACS-PRO, Nhạc cụ Tiến Đạt	http://localhost:50857/amplifier-roland/amplifier-acoustic-boss-acs-pro.html	mới	20450000 VND	19450000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/amplifier-acoustic-boss-acs-pro_6087.jpg		Trống - Amplifier > AMPLIFIER > Amplifier Roland	Trống - Amplifier - AMPLIFIER - Amplifier Roland	0	Amplifier Roland	Không Ưu Tiên
4317	Đàn Martin X Series DC-X2E Rosewood Acoustic Guitar w/Bag	Đàn Martin X Series DC-X2E Rosewood Acoustic Guitar w/Bag, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-martin-x-series-dc-x2e-rosewood-acoustic-guitar-w-bag.html	mới	19910000 VND	18914500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-martin-x-series-dc-x2e-mahogany-acoustic-guitar-w-bag_8930.jpg		Đàn Guitar > Đàn Guitar MARTIN > Guitar Acoustic Martin	Đàn Guitar - Đàn Guitar MARTIN - Guitar Acoustic Martin	0	Guitar Acoustic Martin	Không Ưu Tiên
4315	Đàn guitar Fender ACS CC-60S SB 09770150032	Đàn guitar Fender ACS CC-60S SB 09770150032, Nhạc cụ Tiến Đạt	http://localhost:50857/electric-guitar-fd/dan-guitar-fender-acs-cc-60s-sb-09770150032.html	mới	5950000 VND	4590000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-fender-acs-cc-60s-sb-09770150032.jpg		Đàn Guitar > Đàn Guitar FENDER > Electric Guitar	Đàn Guitar - Đàn Guitar FENDER - Electric Guitar	0	Electric Guitar	Không Ưu Tiên
4314	Đàn Guitar điện Fender -SQ tele Bullets LRL Blk 0370045506	Đàn Guitar điện Fender -SQ tele Bullets LRL Blk 0370045506, Nhạc cụ Tiến Đạt	http://localhost:50857/electric-guitar-fd/dan-guitar-dien-fender-sq-tele-bullets-lrl-blk-0370045506.html	mới	4800000 VND	4560000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-dien-fender-sq-tele-bullets-lrl-blk-0370045506_1917.jpg		Đàn Guitar > Đàn Guitar FENDER > Electric Guitar	Đàn Guitar - Đàn Guitar FENDER - Electric Guitar	0	Electric Guitar	Không Ưu Tiên
4313	Ampli Guitar AROMA AG-10 Electric	Ampli Guitar AROMA AG-10 Electric, Nhạc cụ Tiến Đạt	http://localhost:50857/amplifier-aroma/ampli-guitar-aroma-ag-10-electric.html	mới	1500000 VND	1290000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/ampli-guitar-aroma-ag-10-electric_9224.jpg		Trống - Amplifier > AMPLIFIER > Amplifier AROMA	Trống - Amplifier - AMPLIFIER - Amplifier AROMA	0	Amplifier AROMA	Không Ưu Tiên
